
Logging initialized using configuration in jar:file:/home/ubuntu/software/hive-1.2.1/lib/hive-common-1.2.1.jar!/hive-log4j.properties
Hive history file=/tmp/ubuntu/hive_job_log_16326277-c9c5-47dd-8a0e-95316a8208cf_472263973.txt
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/ubuntu/software/tez-0.7.1-SNAPSHOT-minimal/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/ubuntu/software/hadoop-2.6.0/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
OK
Time taken: 1.518 seconds
Query ID = ubuntu_20150920204254_d089cb04-f50b-4c28-8515-1cb85463a845
Total jobs = 10
Stage-1 is selected by condition resolver.
Launching Job 1 out of 10
Number of reduce tasks not specified. Estimated from input data size: 86
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1442094837470_0105, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0105/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0105
Hadoop job information for Stage-1: number of mappers: 82; number of reducers: 86
2015-09-20 20:43:16,431 Stage-1 map = 0%,  reduce = 0%
2015-09-20 20:44:04,891 Stage-1 map = 26%,  reduce = 0%, Cumulative CPU 477.76 sec
2015-09-20 20:44:07,004 Stage-1 map = 28%,  reduce = 0%, Cumulative CPU 497.45 sec
2015-09-20 20:44:08,067 Stage-1 map = 30%,  reduce = 0%, Cumulative CPU 510.92 sec
2015-09-20 20:44:09,217 Stage-1 map = 32%,  reduce = 0%, Cumulative CPU 524.84 sec
2015-09-20 20:44:10,275 Stage-1 map = 33%,  reduce = 0%, Cumulative CPU 539.69 sec
2015-09-20 20:44:12,412 Stage-1 map = 34%,  reduce = 0%, Cumulative CPU 563.3 sec
2015-09-20 20:44:13,467 Stage-1 map = 35%,  reduce = 0%, Cumulative CPU 584.15 sec
2015-09-20 20:44:14,525 Stage-1 map = 37%,  reduce = 0%, Cumulative CPU 597.17 sec
2015-09-20 20:44:15,600 Stage-1 map = 38%,  reduce = 0%, Cumulative CPU 600.48 sec
2015-09-20 20:44:17,729 Stage-1 map = 39%,  reduce = 0%, Cumulative CPU 620.52 sec
2015-09-20 20:44:25,165 Stage-1 map = 40%,  reduce = 0%, Cumulative CPU 682.39 sec
2015-09-20 20:44:26,222 Stage-1 map = 41%,  reduce = 0%, Cumulative CPU 699.68 sec
2015-09-20 20:44:28,322 Stage-1 map = 42%,  reduce = 0%, Cumulative CPU 722.91 sec
2015-09-20 20:44:29,380 Stage-1 map = 43%,  reduce = 0%, Cumulative CPU 745.77 sec
2015-09-20 20:44:30,434 Stage-1 map = 44%,  reduce = 0%, Cumulative CPU 761.81 sec
2015-09-20 20:44:31,488 Stage-1 map = 46%,  reduce = 0%, Cumulative CPU 775.87 sec
2015-09-20 20:44:33,590 Stage-1 map = 47%,  reduce = 0%, Cumulative CPU 799.7 sec
2015-09-20 20:44:34,641 Stage-1 map = 48%,  reduce = 0%, Cumulative CPU 810.77 sec
2015-09-20 20:44:35,703 Stage-1 map = 50%,  reduce = 0%, Cumulative CPU 820.7 sec
2015-09-20 20:44:37,839 Stage-1 map = 52%,  reduce = 0%, Cumulative CPU 848.73 sec
2015-09-20 20:44:38,903 Stage-1 map = 53%,  reduce = 0%, Cumulative CPU 859.03 sec
2015-09-20 20:44:39,959 Stage-1 map = 54%,  reduce = 0%, Cumulative CPU 878.46 sec
2015-09-20 20:44:41,057 Stage-1 map = 56%,  reduce = 0%, Cumulative CPU 892.4 sec
2015-09-20 20:44:42,116 Stage-1 map = 57%,  reduce = 0%, Cumulative CPU 906.01 sec
2015-09-20 20:44:43,327 Stage-1 map = 58%,  reduce = 0%, Cumulative CPU 911.95 sec
2015-09-20 20:44:44,408 Stage-1 map = 59%,  reduce = 0%, Cumulative CPU 922.64 sec
2015-09-20 20:44:50,839 Stage-1 map = 60%,  reduce = 0%, Cumulative CPU 954.61 sec
2015-09-20 20:44:52,965 Stage-1 map = 61%,  reduce = 0%, Cumulative CPU 994.93 sec
2015-09-20 20:44:55,068 Stage-1 map = 62%,  reduce = 0%, Cumulative CPU 1031.9 sec
2015-09-20 20:44:57,177 Stage-1 map = 63%,  reduce = 0%, Cumulative CPU 1069.98 sec
2015-09-20 20:44:58,236 Stage-1 map = 65%,  reduce = 0%, Cumulative CPU 1083.6 sec
2015-09-20 20:44:59,311 Stage-1 map = 67%,  reduce = 0%, Cumulative CPU 1099.05 sec
2015-09-20 20:45:02,488 Stage-1 map = 68%,  reduce = 0%, Cumulative CPU 1129.18 sec
2015-09-20 20:45:03,552 Stage-1 map = 71%,  reduce = 0%, Cumulative CPU 1146.15 sec
2015-09-20 20:45:05,690 Stage-1 map = 72%,  reduce = 0%, Cumulative CPU 1167.53 sec
2015-09-20 20:45:06,746 Stage-1 map = 74%,  reduce = 0%, Cumulative CPU 1183.95 sec
2015-09-20 20:45:07,816 Stage-1 map = 75%,  reduce = 0%, Cumulative CPU 1196.91 sec
2015-09-20 20:45:08,888 Stage-1 map = 77%,  reduce = 0%, Cumulative CPU 1216.85 sec
2015-09-20 20:45:11,144 Stage-1 map = 78%,  reduce = 0%, Cumulative CPU 1235.53 sec
2015-09-20 20:45:13,263 Stage-1 map = 79%,  reduce = 0%, Cumulative CPU 1247.11 sec
2015-09-20 20:45:15,372 Stage-1 map = 80%,  reduce = 0%, Cumulative CPU 1252.41 sec
2015-09-20 20:45:20,690 Stage-1 map = 81%,  reduce = 0%, Cumulative CPU 1316.65 sec
2015-09-20 20:45:21,762 Stage-1 map = 83%,  reduce = 0%, Cumulative CPU 1355.62 sec
2015-09-20 20:45:23,862 Stage-1 map = 85%,  reduce = 0%, Cumulative CPU 1385.73 sec
2015-09-20 20:45:24,918 Stage-1 map = 86%,  reduce = 0%, Cumulative CPU 1407.28 sec
2015-09-20 20:45:25,970 Stage-1 map = 88%,  reduce = 0%, Cumulative CPU 1416.37 sec
2015-09-20 20:45:27,017 Stage-1 map = 89%,  reduce = 0%, Cumulative CPU 1430.91 sec
2015-09-20 20:45:28,065 Stage-1 map = 90%,  reduce = 0%, Cumulative CPU 1441.61 sec
2015-09-20 20:45:29,139 Stage-1 map = 91%,  reduce = 0%, Cumulative CPU 1447.87 sec
2015-09-20 20:45:31,230 Stage-1 map = 93%,  reduce = 0%, Cumulative CPU 1475.05 sec
2015-09-20 20:45:32,286 Stage-1 map = 94%,  reduce = 0%, Cumulative CPU 1484.23 sec
2015-09-20 20:45:33,334 Stage-1 map = 95%,  reduce = 0%, Cumulative CPU 1501.32 sec
2015-09-20 20:45:34,374 Stage-1 map = 97%,  reduce = 0%, Cumulative CPU 1509.59 sec
2015-09-20 20:45:36,460 Stage-1 map = 98%,  reduce = 0%, Cumulative CPU 1514.99 sec
2015-09-20 20:45:39,590 Stage-1 map = 99%,  reduce = 0%, Cumulative CPU 1531.05 sec
2015-09-20 20:45:46,961 Stage-1 map = 100%,  reduce = 0%, Cumulative CPU 1544.91 sec
2015-09-20 20:45:57,724 Stage-1 map = 100%,  reduce = 3%, Cumulative CPU 1564.68 sec
2015-09-20 20:45:58,786 Stage-1 map = 100%,  reduce = 4%, Cumulative CPU 1577.84 sec
2015-09-20 20:45:59,843 Stage-1 map = 100%,  reduce = 7%, Cumulative CPU 1598.67 sec
2015-09-20 20:46:00,907 Stage-1 map = 100%,  reduce = 12%, Cumulative CPU 1638.79 sec
2015-09-20 20:46:01,970 Stage-1 map = 100%,  reduce = 16%, Cumulative CPU 1674.27 sec
2015-09-20 20:46:03,022 Stage-1 map = 100%,  reduce = 17%, Cumulative CPU 1682.04 sec
2015-09-20 20:46:04,080 Stage-1 map = 100%,  reduce = 18%, Cumulative CPU 1693.84 sec
2015-09-20 20:46:05,139 Stage-1 map = 100%,  reduce = 19%, Cumulative CPU 1700.03 sec
2015-09-20 20:46:11,537 Stage-1 map = 100%,  reduce = 21%, Cumulative CPU 1721.09 sec
2015-09-20 20:46:12,618 Stage-1 map = 100%,  reduce = 22%, Cumulative CPU 1727.77 sec
2015-09-20 20:46:13,685 Stage-1 map = 100%,  reduce = 25%, Cumulative CPU 1750.38 sec
2015-09-20 20:46:14,750 Stage-1 map = 100%,  reduce = 28%, Cumulative CPU 1775.76 sec
2015-09-20 20:46:15,810 Stage-1 map = 100%,  reduce = 32%, Cumulative CPU 1809.76 sec
2015-09-20 20:46:16,873 Stage-1 map = 100%,  reduce = 35%, Cumulative CPU 1830.98 sec
2015-09-20 20:46:17,927 Stage-1 map = 100%,  reduce = 36%, Cumulative CPU 1840.0 sec
2015-09-20 20:46:18,987 Stage-1 map = 100%,  reduce = 37%, Cumulative CPU 1851.75 sec
2015-09-20 20:46:23,222 Stage-1 map = 100%,  reduce = 38%, Cumulative CPU 1861.85 sec
2015-09-20 20:46:24,292 Stage-1 map = 100%,  reduce = 39%, Cumulative CPU 1868.85 sec
2015-09-20 20:46:26,419 Stage-1 map = 100%,  reduce = 41%, Cumulative CPU 1878.98 sec
2015-09-20 20:46:27,552 Stage-1 map = 100%,  reduce = 43%, Cumulative CPU 1901.24 sec
2015-09-20 20:46:28,985 Stage-1 map = 100%,  reduce = 45%, Cumulative CPU 1914.97 sec
2015-09-20 20:46:30,044 Stage-1 map = 100%,  reduce = 49%, Cumulative CPU 1947.5 sec
2015-09-20 20:46:31,102 Stage-1 map = 100%,  reduce = 52%, Cumulative CPU 1973.27 sec
2015-09-20 20:46:32,148 Stage-1 map = 100%,  reduce = 53%, Cumulative CPU 1982.84 sec
2015-09-20 20:46:33,200 Stage-1 map = 100%,  reduce = 55%, Cumulative CPU 1994.07 sec
2015-09-20 20:46:35,312 Stage-1 map = 100%,  reduce = 57%, Cumulative CPU 2014.72 sec
2015-09-20 20:46:37,428 Stage-1 map = 100%,  reduce = 58%, Cumulative CPU 2023.95 sec
2015-09-20 20:46:38,510 Stage-1 map = 100%,  reduce = 59%, Cumulative CPU 2030.97 sec
2015-09-20 20:46:41,660 Stage-1 map = 100%,  reduce = 61%, Cumulative CPU 2048.96 sec
2015-09-20 20:46:42,721 Stage-1 map = 100%,  reduce = 64%, Cumulative CPU 2070.03 sec
2015-09-20 20:46:43,771 Stage-1 map = 100%,  reduce = 65%, Cumulative CPU 2081.2 sec
2015-09-20 20:46:44,839 Stage-1 map = 100%,  reduce = 68%, Cumulative CPU 2108.89 sec
2015-09-20 20:46:45,912 Stage-1 map = 100%,  reduce = 71%, Cumulative CPU 2128.82 sec
2015-09-20 20:46:46,978 Stage-1 map = 100%,  reduce = 73%, Cumulative CPU 2148.7 sec
2015-09-20 20:46:48,069 Stage-1 map = 100%,  reduce = 75%, Cumulative CPU 2160.48 sec
2015-09-20 20:46:50,189 Stage-1 map = 100%,  reduce = 77%, Cumulative CPU 2177.6 sec
2015-09-20 20:46:52,314 Stage-1 map = 100%,  reduce = 78%, Cumulative CPU 2186.71 sec
2015-09-20 20:46:54,448 Stage-1 map = 100%,  reduce = 79%, Cumulative CPU 2195.95 sec
2015-09-20 20:46:55,502 Stage-1 map = 100%,  reduce = 80%, Cumulative CPU 2204.61 sec
2015-09-20 20:46:56,583 Stage-1 map = 100%,  reduce = 83%, Cumulative CPU 2225.39 sec
2015-09-20 20:46:57,637 Stage-1 map = 100%,  reduce = 84%, Cumulative CPU 2232.69 sec
2015-09-20 20:46:58,714 Stage-1 map = 100%,  reduce = 86%, Cumulative CPU 2256.64 sec
2015-09-20 20:46:59,780 Stage-1 map = 100%,  reduce = 88%, Cumulative CPU 2275.73 sec
2015-09-20 20:47:00,835 Stage-1 map = 100%,  reduce = 90%, Cumulative CPU 2285.14 sec
2015-09-20 20:47:01,880 Stage-1 map = 100%,  reduce = 92%, Cumulative CPU 2306.39 sec
2015-09-20 20:47:02,928 Stage-1 map = 100%,  reduce = 94%, Cumulative CPU 2325.24 sec
2015-09-20 20:47:03,986 Stage-1 map = 100%,  reduce = 96%, Cumulative CPU 2336.9 sec
2015-09-20 20:47:06,110 Stage-1 map = 100%,  reduce = 98%, Cumulative CPU 2350.04 sec
2015-09-20 20:47:09,292 Stage-1 map = 100%,  reduce = 99%, Cumulative CPU 2359.27 sec
2015-09-20 20:47:12,459 Stage-1 map = 100%,  reduce = 100%, Cumulative CPU 2371.39 sec
MapReduce Total cumulative CPU time: 39 minutes 31 seconds 390 msec
Ended Job = job_1442094837470_0105
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/ubuntu/software/tez-0.7.1-SNAPSHOT-minimal/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/ubuntu/software/hadoop-2.6.0/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
Execution log at: /tmp/ubuntu/ubuntu_20150920204254_d089cb04-f50b-4c28-8515-1cb85463a845.log
2015-09-20 20:47:18	Starting to launch local task to process map join;	maximum memory = 932184064
2015-09-20 20:47:20	Dump the side-table for tag: 1 with group count: 144 into file: file:/tmp/ubuntu/16326277-c9c5-47dd-8a0e-95316a8208cf/hive_2015-09-20_20-42-54_659_7279159798697115037-1/-local-10017/HashTable-Stage-17/MapJoin-mapfile41--.hashtable
2015-09-20 20:47:20	Uploaded 1 File to: file:/tmp/ubuntu/16326277-c9c5-47dd-8a0e-95316a8208cf/hive_2015-09-20_20-42-54_659_7279159798697115037-1/-local-10017/HashTable-Stage-17/MapJoin-mapfile41--.hashtable (13095 bytes)
2015-09-20 20:47:20	End of local task; Time Taken: 1.825 sec.
Execution completed successfully
MapredLocal task succeeded
Launching Job 2 out of 10
Number of reduce tasks is set to 0 since there's no reduce operator
Starting Job = job_1442094837470_0106, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0106/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0106
Hadoop job information for Stage-17: number of mappers: 4; number of reducers: 0
2015-09-20 20:47:29,114 Stage-17 map = 0%,  reduce = 0%
2015-09-20 20:47:41,988 Stage-17 map = 9%,  reduce = 0%, Cumulative CPU 27.6 sec
2015-09-20 20:47:45,160 Stage-17 map = 22%,  reduce = 0%, Cumulative CPU 40.37 sec
2015-09-20 20:47:48,301 Stage-17 map = 35%,  reduce = 0%, Cumulative CPU 53.04 sec
2015-09-20 20:47:51,460 Stage-17 map = 50%,  reduce = 0%, Cumulative CPU 66.07 sec
2015-09-20 20:47:54,666 Stage-17 map = 62%,  reduce = 0%, Cumulative CPU 78.64 sec
2015-09-20 20:47:57,889 Stage-17 map = 77%,  reduce = 0%, Cumulative CPU 91.03 sec
2015-09-20 20:48:01,082 Stage-17 map = 96%,  reduce = 0%, Cumulative CPU 104.52 sec
2015-09-20 20:48:03,227 Stage-17 map = 99%,  reduce = 0%, Cumulative CPU 104.52 sec
2015-09-20 20:48:04,284 Stage-17 map = 100%,  reduce = 0%, Cumulative CPU 108.55 sec
MapReduce Total cumulative CPU time: 1 minutes 48 seconds 550 msec
Ended Job = job_1442094837470_0106
Stage-23 is selected by condition resolver.
Stage-24 is filtered out by condition resolver.
Stage-3 is filtered out by condition resolver.
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/ubuntu/software/tez-0.7.1-SNAPSHOT-minimal/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/ubuntu/software/hadoop-2.6.0/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
Execution log at: /tmp/ubuntu/ubuntu_20150920204254_d089cb04-f50b-4c28-8515-1cb85463a845.log
2015-09-20 20:48:11	Starting to launch local task to process map join;	maximum memory = 932184064
2015-09-20 20:48:13	Dump the side-table for tag: 1 with group count: 73049 into file: file:/tmp/ubuntu/16326277-c9c5-47dd-8a0e-95316a8208cf/hive_2015-09-20_20-42-54_659_7279159798697115037-1/-local-10013/HashTable-Stage-14/MapJoin-mapfile21--.hashtable
2015-09-20 20:48:13	Uploaded 1 File to: file:/tmp/ubuntu/16326277-c9c5-47dd-8a0e-95316a8208cf/hive_2015-09-20_20-42-54_659_7279159798697115037-1/-local-10013/HashTable-Stage-14/MapJoin-mapfile21--.hashtable (1541779 bytes)
2015-09-20 20:48:13	End of local task; Time Taken: 2.479 sec.
Execution completed successfully
MapredLocal task succeeded
Launching Job 4 out of 10
Number of reduce tasks is set to 0 since there's no reduce operator
Starting Job = job_1442094837470_0107, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0107/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0107
Hadoop job information for Stage-14: number of mappers: 5; number of reducers: 0
2015-09-20 20:48:22,324 Stage-14 map = 0%,  reduce = 0%
2015-09-20 20:48:30,772 Stage-14 map = 20%,  reduce = 0%, Cumulative CPU 5.76 sec
2015-09-20 20:48:35,033 Stage-14 map = 22%,  reduce = 0%, Cumulative CPU 33.1 sec
2015-09-20 20:48:38,314 Stage-14 map = 23%,  reduce = 0%, Cumulative CPU 46.08 sec
2015-09-20 20:48:41,471 Stage-14 map = 27%,  reduce = 0%, Cumulative CPU 58.82 sec
2015-09-20 20:48:47,836 Stage-14 map = 37%,  reduce = 0%, Cumulative CPU 84.69 sec
2015-09-20 20:48:50,994 Stage-14 map = 56%,  reduce = 0%, Cumulative CPU 97.39 sec
2015-09-20 20:48:54,160 Stage-14 map = 64%,  reduce = 0%, Cumulative CPU 110.02 sec
2015-09-20 20:49:00,521 Stage-14 map = 74%,  reduce = 0%, Cumulative CPU 136.72 sec
2015-09-20 20:49:02,663 Stage-14 map = 92%,  reduce = 0%, Cumulative CPU 144.88 sec
2015-09-20 20:49:07,961 Stage-14 map = 100%,  reduce = 0%, Cumulative CPU 149.57 sec
MapReduce Total cumulative CPU time: 2 minutes 29 seconds 570 msec
Ended Job = job_1442094837470_0107
Stage-21 is selected by condition resolver.
Stage-22 is filtered out by condition resolver.
Stage-4 is filtered out by condition resolver.
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/ubuntu/software/tez-0.7.1-SNAPSHOT-minimal/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/ubuntu/software/hadoop-2.6.0/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
Execution log at: /tmp/ubuntu/ubuntu_20150920204254_d089cb04-f50b-4c28-8515-1cb85463a845.log
2015-09-20 20:49:14	Starting to launch local task to process map join;	maximum memory = 932184064
2015-09-20 20:49:16	Dump the side-table for tag: 1 with group count: 30 into file: file:/tmp/ubuntu/16326277-c9c5-47dd-8a0e-95316a8208cf/hive_2015-09-20_20-42-54_659_7279159798697115037-1/-local-10009/HashTable-Stage-11/MapJoin-mapfile01--.hashtable
2015-09-20 20:49:16	Uploaded 1 File to: file:/tmp/ubuntu/16326277-c9c5-47dd-8a0e-95316a8208cf/hive_2015-09-20_20-42-54_659_7279159798697115037-1/-local-10009/HashTable-Stage-11/MapJoin-mapfile01--.hashtable (893 bytes)
2015-09-20 20:49:16	End of local task; Time Taken: 2.117 sec.
Execution completed successfully
MapredLocal task succeeded
Launching Job 6 out of 10
Number of reduce tasks is set to 0 since there's no reduce operator
Starting Job = job_1442094837470_0108, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0108/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0108
Hadoop job information for Stage-11: number of mappers: 6; number of reducers: 0
2015-09-20 20:49:25,372 Stage-11 map = 0%,  reduce = 0%
2015-09-20 20:49:32,686 Stage-11 map = 33%,  reduce = 0%, Cumulative CPU 7.08 sec
2015-09-20 20:49:38,946 Stage-11 map = 41%,  reduce = 0%, Cumulative CPU 34.16 sec
2015-09-20 20:49:42,089 Stage-11 map = 64%,  reduce = 0%, Cumulative CPU 47.05 sec
2015-09-20 20:49:44,174 Stage-11 map = 72%,  reduce = 0%, Cumulative CPU 52.69 sec
2015-09-20 20:49:45,217 Stage-11 map = 86%,  reduce = 0%, Cumulative CPU 59.59 sec
2015-09-20 20:49:46,268 Stage-11 map = 100%,  reduce = 0%, Cumulative CPU 63.22 sec
MapReduce Total cumulative CPU time: 1 minutes 3 seconds 220 msec
Ended Job = job_1442094837470_0108
Launching Job 7 out of 10
Number of reduce tasks not specified. Estimated from input data size: 1
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1442094837470_0109, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0109/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0109
Hadoop job information for Stage-5: number of mappers: 2; number of reducers: 1
2015-09-20 20:49:55,656 Stage-5 map = 0%,  reduce = 0%
2015-09-20 20:50:02,961 Stage-5 map = 100%,  reduce = 0%, Cumulative CPU 4.59 sec
2015-09-20 20:50:10,257 Stage-5 map = 100%,  reduce = 100%, Cumulative CPU 6.35 sec
MapReduce Total cumulative CPU time: 6 seconds 350 msec
Ended Job = job_1442094837470_0109
Launching Job 8 out of 10
Number of reduce tasks determined at compile time: 1
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1442094837470_0110, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0110/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0110
Hadoop job information for Stage-6: number of mappers: 1; number of reducers: 1
2015-09-20 20:50:18,743 Stage-6 map = 0%,  reduce = 0%
2015-09-20 20:50:26,037 Stage-6 map = 100%,  reduce = 0%, Cumulative CPU 2.33 sec
2015-09-20 20:50:33,350 Stage-6 map = 100%,  reduce = 100%, Cumulative CPU 4.18 sec
MapReduce Total cumulative CPU time: 4 seconds 180 msec
Ended Job = job_1442094837470_0110
MapReduce Jobs Launched: 
Stage-Stage-1: Map: 82  Reduce: 86   Cumulative CPU: 2371.39 sec   HDFS Read: 21844876104 HDFS Write: 490208950 SUCCESS
Stage-Stage-17: Map: 4   Cumulative CPU: 108.55 sec   HDFS Read: 490267042 HDFS Write: 1194927523 SUCCESS
Stage-Stage-14: Map: 5   Cumulative CPU: 149.57 sec   HDFS Read: 1194996814 HDFS Write: 1234824547 SUCCESS
Stage-Stage-11: Map: 6   Cumulative CPU: 63.22 sec   HDFS Read: 1234958462 HDFS Write: 40423 SUCCESS
Stage-Stage-5: Map: 2  Reduce: 1   Cumulative CPU: 6.35 sec   HDFS Read: 59705 HDFS Write: 7303 SUCCESS
Stage-Stage-6: Map: 1  Reduce: 1   Cumulative CPU: 4.18 sec   HDFS Read: 18622 HDFS Write: 6427 SUCCESS
Total MapReduce CPU Time Spent: 45 minutes 3 seconds 260 msec
OK
Time taken: 459.82 seconds, Fetched: 72 row(s)
77.47user 8.52system 7:52.87elapsed 18%CPU (0avgtext+0avgdata 674780maxresident)k
112400inputs+474560outputs (108major+274764minor)pagefaults 0swaps
